type,n_sample,fruit_length_mm,fruit_width_mm,height_mm,total_wt ,seed_wt,ratio total_seed_wt ,seed_length,seed_width,penetrom_husk,max_husk_thickness,min_husk_thickness,time_retrieve,time_dehusk,time_process_seed,seed_volume_cm³,acess_time_(ps+dh),note_type_data source,notes observations
floating _not_eaten ,1,105.60,93.00,73.80,345.00,NA,NA,NA,NA,4.00,NA,NA,NA,NA,NA,NA,NA,"floating - not eaten. Plant Meas, p. 2",p. 61 has meas for rodent incisors for 4 macucu fruits  
floating _not_eaten ,2,103.60,94.70,89.10,350.00,NA,NA,NA,NA,4.30,NA,NA,NA,NA,NA,NA,NA,"floating - not eaten. Plant Meas, p. 3",8-69 ''diameter'' rather than width and height 
floating _not_eaten ,3,95.30,88.50,66.20,255.00,NA,NA,NA,NA,3.80,NA,NA,NA,NA,NA,NA,NA,"floating - not eaten. Plant Meas, p. 4",Data from June 2007 (uaacris not eating macucu then)
floating _not_eaten ,4,114.60,119.00,94.80,460.00,NA,NA,NA,NA,3.50,NA,NA,NA,NA,NA,NA,NA,"floating - not eaten. Plant Meas, p. 5",
floating _not_eaten ,5,79.80,75.80,59.10,145.00,NA,NA,NA,NA,3.40,NA,NA,NA,NA,NA,NA,NA,"floating - not eaten. Plant Meas, p. 6",
floating _not_eaten ,6,90.80,91.60,68.60,235.00,NA,NA,NA,NA,3.80,NA,NA,NA,NA,NA,NA,NA,"floating - not eaten. Plant Meas, p. 7",
floating _not_eaten ,1,104.10,92.30,NA,320.00,176.00,55.00,70.60,63.50,NA,22.30,10.00,NA,NA,NA,NA,NA,floating - not eaten. Plant meas. P 70-73,
floating _not_eaten ,2,126.80,97.30,NA,380.00,320.00,84.20,82.30,63.10,NA,26.80,14.00,NA,NA,NA,NA,NA,floating - not eaten. Plant meas. P 70-73,
floating _not_eaten ,3,74.80,63.30,NA,150.00,107.00,71.30,50.10,22.10,NA,20.00,11.70,NA,NA,NA,NA,NA,floating - not eaten. Plant meas. P 70-73,
floating _not_eaten ,4,109.40,87.30,NA,365.00,317.00,86.80,106.20,85.20,NA,16.80,9.00,NA,NA,NA,NA,NA,floating - not eaten. Plant meas. P 70-73,
floating _not_eaten ,5,84.10,85.30,NA,287.50,243.00,84.50,55.30,24.80,NA,22.30,13.20,NA,NA,NA,NA,NA,floating - not eaten. Plant meas. P 70-73,
floating _not_eaten ,6,71.80,83.10,NA,130.00,111.00,85.40,43.80,22.10,NA,22.00,11.40,NA,NA,NA,NA,NA,floating - not eaten. Plant meas. P 70-73,
floating _not_eaten ,7,84.70,73.70,NA,187.50,123.00,65.60,53.80,26.30,NA,24.40,12.90,NA,NA,NA,NA,NA,floating - not eaten. Plant meas. P 70-73,
floating _not_eaten ,8,57.50,57.00,NA,65.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,floating - not eaten. Plant meas. P 70-73,
floating _not_eaten ,9,66.00,50.90,NA,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,floating - not eaten. Plant meas. P 70-73,
floating _not_eaten ,10,90.20,78.80,NA,210.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,floating - not eaten. Plant meas. P 70-73,
floating _not_eaten ,11,54.80,47.00,NA,52.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,floating - not eaten. Plant meas. P 70-73,
floating _not_eaten ,12,83.20,73.50,NA,145.00,103.00,71.00,54.70,27.00,NA,23.00,12.80,NA,NA,NA,NA,NA,floating - not eaten. Plant meas. P 70-73,
